cnt = 0
, clk = 1
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 305
, clk = 0
, cur_pc_id = 248
, instruction = 1100000000000000011101111
, ra = 0
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 306
, clk = 1
, cur_pc_id = 248
, instruction = 1100000000000000011101111
, ra = 0
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 307
, clk = 0
, cur_pc_id = 248
, instruction = 1100000000000000011101111
, ra = 0
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 308
, clk = 1
, cur_pc_id = 272
, instruction = 10100010010000000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 309
, clk = 0
, cur_pc_id = 272
, instruction = 10100010010000000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 310
, clk = 1
, cur_pc_id = 272
, instruction = 10100010010000000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 311
, clk = 0
, cur_pc_id = 272
, instruction = 10100010010000000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 312
, clk = 1
, cur_pc_id = 272
, instruction = 10100010010000000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 313
, clk = 0
, cur_pc_id = 272
, instruction = 10100010010000000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 314
, clk = 1
, cur_pc_id = 276
, instruction = 11000010000001000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 315
, clk = 0
, cur_pc_id = 276
, instruction = 11000010000001000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 316
, clk = 1
, cur_pc_id = 276
, instruction = 11000010000001000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 317
, clk = 0
, cur_pc_id = 276
, instruction = 11000010000001000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 318
, clk = 1
, cur_pc_id = 276
, instruction = 11000010000001000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 319
, clk = 0
, cur_pc_id = 276
, instruction = 11000010000001000100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 320
, clk = 1
, cur_pc_id = 280
, instruction = 10010111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 321
, clk = 0
, cur_pc_id = 280
, instruction = 10010111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 322
, clk = 1
, cur_pc_id = 280
, instruction = 10010111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 323
, clk = 0
, cur_pc_id = 280
, instruction = 10010111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 324
, clk = 1
, cur_pc_id = 280
, instruction = 10010111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 325
, clk = 0
, cur_pc_id = 280
, instruction = 10010111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 326
, clk = 1
, cur_pc_id = 284
, instruction = 10000010000111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 327
, clk = 0
, cur_pc_id = 284
, instruction = 10000010000111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 0
, 
cnt = 328
, clk = 1
, cur_pc_id = 284
, instruction = 10000010000111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffcd8000
, 
cnt = 329
, clk = 0
, cur_pc_id = 284
, instruction = 10000010000111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffcd8000
, 
cnt = 330
, clk = 1
, cur_pc_id = 284
, instruction = 10000010000111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffcd8000
, 
cnt = 331
, clk = 0
, cur_pc_id = 284
, instruction = 10000010000111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffcd8000
, 
cnt = 332
, clk = 1
, cur_pc_id = 288
, instruction = 10000010100111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffcd8000
, 
cnt = 333
, clk = 0
, cur_pc_id = 288
, instruction = 10000010100111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffcd8000
, 
cnt = 334
, clk = 1
, cur_pc_id = 288
, instruction = 10000010100111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 335
, clk = 0
, cur_pc_id = 288
, instruction = 10000010100111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 336
, clk = 1
, cur_pc_id = 288
, instruction = 10000010100111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffffff98
, 
cnt = 337
, clk = 0
, cur_pc_id = 288
, instruction = 10000010100111010000011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffffff98
, 
cnt = 338
, clk = 1
, cur_pc_id = 292
, instruction = 1000000001100111
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffffff98
, 
cnt = 339
, clk = 0
, cur_pc_id = 292
, instruction = 1000000001100111
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = ffffff98
, 
cnt = 340
, clk = 1
, cur_pc_id = 292
, instruction = 1000000001100111
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 341
, clk = 0
, cur_pc_id = 292
, instruction = 1000000001100111
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 342
, clk = 1
, cur_pc_id = 292
, instruction = 1000000001100111
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 343
, clk = 0
, cur_pc_id = 292
, instruction = 1000000001100111
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 344
, clk = 1
, cur_pc_id = 252
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 345
, clk = 0
, cur_pc_id = 252
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 346
, clk = 1
, cur_pc_id = 252
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 347
, clk = 0
, cur_pc_id = 252
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 348
, clk = 1
, cur_pc_id = 252
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 349
, clk = 0
, cur_pc_id = 252
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 350
, clk = 1
, cur_pc_id = 256
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 351
, clk = 0
, cur_pc_id = 256
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 352
, clk = 1
, cur_pc_id = 256
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 353
, clk = 0
, cur_pc_id = 256
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 354
, clk = 1
, cur_pc_id = 256
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 355
, clk = 0
, cur_pc_id = 256
, instruction = 10011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 356
, clk = 1
, cur_pc_id = 260
, instruction = 10011100101000100001100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 357
, clk = 0
, cur_pc_id = 260
, instruction = 10011100101000100001100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 358
, clk = 1
, cur_pc_id = 260
, instruction = 10011100101000100001100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 359
, clk = 0
, cur_pc_id = 260
, instruction = 10011100101000100001100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 360
, clk = 1
, cur_pc_id = 260
, instruction = 10011100101000100001100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 361
, clk = 0
, cur_pc_id = 260
, instruction = 10011100101000100001100011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 362
, clk = 1
, cur_pc_id = 308
, instruction = 1110110011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 363
, clk = 0
, cur_pc_id = 308
, instruction = 1110110011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 364
, clk = 1
, cur_pc_id = 308
, instruction = 1110110011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 365
, clk = 0
, cur_pc_id = 308
, instruction = 1110110011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 366
, clk = 1
, cur_pc_id = 308
, instruction = 1110110011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 367
, clk = 0
, cur_pc_id = 308
, instruction = 1110110011
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = ffcd8000
, t3 = 2
, t4 = 98
, 
cnt = 368
, clk = 1
, cur_pc_id = 312
, instruction = 0
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = 0
, t3 = 2
, t4 = 98
, 
cnt = 369
, clk = 0
, cur_pc_id = 312
, instruction = 0
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = 0
, t3 = 2
, t4 = 98
, 
cnt = 370
, clk = 1
, cur_pc_id = 312
, instruction = 0
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = 0
, t3 = 2
, t4 = 98
, 
cnt = 371
, clk = 0
, cur_pc_id = 312
, instruction = 0
, ra = fc
, t0 = ffcd8000
, t1 = c98
, t2 = 0
, t3 = 2
, t4 = 98
, 
simulation finish
